zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
2838,0.245,0.044,60278,high_under_18
2840,0.154,0.072,65317,high_70_80
2858,0.065,0.072,0,high_70_80
2859,0.205,0.053,76146,high_under_18
2860,0.238,0.048,40455,high_under_18
2863,0.29,0.025,30794,high_under_18
2872,0,0.067,0,high_70_80
2873,0.191,0,73991,high_under_18
2874,0.288,0.045,133655,high_under_18
2875,0.278,0.029,100673,high_under_18
2876,0.283,0,21667,high_under_18
2882,0.102,0.108,65385,high_70_80
2892,0.19,0.048,94176,high_under_18
2895,0.214,0.051,38340,high_under_18
2903,0.047,0.064,30711,high_70_80
2905,0.238,0.045,41050,high_under_18
2907,0.271,0.036,35512,high_under_18
2908,0.234,0.034,45042,high_under_18
2909,0.27,0.029,33661,high_under_18
2910,0.232,0.042,62941,high_under_18
2911,0.174,0.048,57019,high_under_18
2914,0.18,0.054,47985,high_under_18
2915,0.157,0.062,59301,high_70_80
2917,0.149,0.074,83010,high_70_80
5260,0.163,0.048,85625,high_under_18
6002,0.143,0.085,73593,high_70_80
6016,0.236,0.054,81923,high_under_18
6021,0.234,0.037,73000,high_under_18
6042,0.193,0.049,79106,high_under_18
6051,0.268,0.049,32556,high_under_18
6052,0.184,0.054,64955,high_under_18
6060,0.316,0.018,137464,high_under_18
6065,0.212,0.053,98194,high_under_18
6069,0.108,0.16,77083,high_70_80
6076,0.201,0.048,72500,high_under_18
6081,0.223,0.046,79559,high_under_18
6085,0.246,0.054,91563,high_under_18
6088,0.096,0.101,67375,high_70_80
6089,0.289,0.038,103625,high_under_18
6091,0.133,0.107,0,high_70_80
6098,0.155,0.072,60248,high_70_80
6105,0.176,0.052,32126,high_under_18
6106,0.238,0.053,32550,high_under_18
6108,0.238,0.045,50361,high_under_18
6110,0.214,0.05,67118,high_under_18
6114,0.273,0.038,36227,high_under_18
6119,0.23,0.05,81117,high_under_18
6120,0.334,0.02,25154,high_under_18
6226,0.206,0.028,32053,high_under_18
6232,0.205,0.042,100507,high_under_18
6235,0.184,0.046,81204,high_under_18
6242,0.141,0.064,83125,high_70_80
6255,0.232,0.043,68750,high_under_18
6262,0.066,0.112,62026,high_70_80
6263,0.311,0,37452,high_under_18
6264,0,0.344,93000,high_70_80
6266,0.278,0.042,58558,high_under_18
6268,0.099,0.057,48688,high_70_80
6279,0.153,0.069,75885,high_70_80
6280,0.132,0.079,65884,high_70_80
6282,0.238,0.051,59620,high_under_18
6336,0.479,0,0,high_under_18
6373,0.152,0.089,38438,high_70_80
6377,0.258,0.048,76774,high_under_18
6387,0.439,0,96786,high_under_18
6409,0.117,0.107,31905,high_70_80
6415,0.234,0.049,100782,high_under_18
6426,0.13,0.14,98185,high_70_80
6444,0.315,0,0,high_under_18
6447,0.216,0.054,110250,high_under_18
6451,0.183,0.052,54422,high_under_18
6456,0.112,0.129,0,high_70_80
6469,0.175,0.039,76406,high_under_18
6481,0.205,0.053,75625,high_under_18
6482,0.246,0.054,112733,high_under_18
6498,0.127,0.085,95833,high_70_80
6511,0.181,0.038,38614,high_under_18
6513,0.249,0.048,40427,high_under_18
6514,0.203,0.043,72072,high_under_18
6515,0.219,0.034,51136,high_under_18
6518,0.129,0.061,72943,high_70_80
6519,0.306,0.041,26712,high_under_18
6604,0.202,0.045,35934,high_under_18
6605,0.248,0.038,43580,high_under_18
6606,0.224,0.048,55304,high_under_18
6607,0.306,0.029,39874,high_under_18
6608,0.305,0.028,33536,high_under_18
6610,0.23,0.049,43867,high_under_18
6702,0.129,0.113,12036,high_70_80
6704,0.278,0.05,37362,high_under_18
6705,0.239,0.05,45663,high_under_18
6706,0.265,0.046,41022,high_under_18
6708,0.233,0.053,52074,high_under_18
6710,0.323,0.035,28855,high_under_18
6752,0.135,0.146,102250,high_70_80
6754,0.208,0.054,93333,high_under_18
6755,0.232,0.023,94073,high_under_18
6777,0.152,0.148,96875,high_70_80
6793,0.136,0.086,91033,high_70_80
6810,0.228,0.049,58073,high_under_18
6820,0.325,0.045,208848,high_under_18
6850,0.182,0.053,88591,high_under_18
6854,0.247,0.04,66075,high_under_18
6855,0.169,0.054,78295,high_under_18
6878,0.308,0.053,207500,high_under_18
6897,0.292,0.053,180677,high_under_18
6901,0.111,0.056,72218,high_70_80
6902,0.202,0.046,70553,high_under_18
6906,0.25,0.044,78371,high_under_18
6907,0.227,0.033,87227,high_under_18
7001,0.184,0.046,68426,high_under_18
7003,0.211,0.053,74961,high_under_18
7005,0.214,0.052,109888,high_under_18
7008,0.226,0.032,73892,high_under_18
7010,0.158,0.081,67799,high_70_80
7011,0.229,0.041,56285,high_under_18
7014,0.242,0.043,96339,high_under_18
7017,0.226,0.054,41322,high_under_18
7018,0.23,0.046,42335,high_under_18
7020,0.205,0.041,103505,high_under_18
7022,0.168,0.051,56057,high_under_18
7023,0.282,0.048,132292,high_under_18
7026,0.228,0.044,54037,high_under_18
7027,0.206,0.053,79063,high_under_18
7028,0.324,0.033,195714,high_under_18
7029,0.211,0.046,61084,high_under_18
7032,0.217,0.053,63222,high_under_18
7033,0.216,0.053,108281,high_under_18
7034,0.186,0.046,82626,high_under_18
7040,0.287,0.049,125036,high_under_18
7041,0.3,0.023,104786,high_under_18
7042,0.239,0.05,97920,high_under_18
7043,0.285,0.046,191449,high_under_18
7055,0.33,0.038,34958,high_under_18
