zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
13117,0.171,0.011,47417,high_under_18
13122,0.325,0.021,78235,high_under_18
13123,0.397,0,55825,high_under_18
13134,0.199,0,73929,high_under_18
13135,0.214,0.044,52545,high_under_18
13141,0.286,0.046,51154,high_under_18
13147,0.202,0.052,54792,high_under_18
13153,0.076,0.085,43750,high_70_80
13157,0.065,0.3,41250,high_70_80
13164,0.314,0.036,77083,high_under_18
13202,0.236,0.013,15000,high_under_18
13204,0.26,0.04,31735,high_under_18
13206,0.206,0.051,39911,high_under_18
13207,0.259,0.047,50464,high_under_18
13208,0.28,0.045,35673,high_under_18
13334,0.297,0.02,62500,high_under_18
13408,0.115,0.064,52162,high_70_80
13484,0.465,0,0,high_under_18
14032,0.301,0.046,106701,high_under_18
14036,0.199,0.048,63661,high_under_18
14072,0.227,0.054,81818,high_under_18
14111,0.268,0.054,56250,high_under_18
14131,0.152,0.07,71051,high_70_80
14143,0.153,0.122,55610,high_70_80
14168,0.557,0,0,high_under_18
14169,0.341,0.053,30875,high_under_18
14201,0.206,0.043,27369,high_under_18
14202,0.136,0.058,44049,high_70_80
14203,0.148,0.061,33388,high_70_80
14207,0.297,0.031,26448,high_under_18
14209,0.143,0.065,33327,high_70_80
14210,0.241,0.036,37384,high_under_18
14211,0.298,0.047,25019,high_under_18
14213,0.305,0.029,31445,high_under_18
14214,0.164,0.045,44310,high_under_18
14215,0.251,0.049,35160,high_under_18
14220,0.217,0.053,50856,high_under_18
14227,0.137,0.095,52385,high_70_80
14301,0.239,0.052,26019,high_under_18
14302,0,0.18,0,high_70_80
14303,0.245,0.053,30574,high_under_18
14420,0.184,0.052,56292,high_under_18
14425,0.272,0.054,67819,high_under_18
14445,0.213,0.05,50551,high_under_18
14466,0.131,0.09,75900,high_70_80
14471,0.203,0.053,60478,high_under_18
14477,0.168,0.022,62188,high_under_18
14486,0.066,0.149,62200,high_70_80
14502,0.254,0.05,66887,high_under_18
14506,0.179,0.037,129196,high_under_18
14511,0.303,0.015,53044,high_under_18
14533,0.268,0.035,56042,high_under_18
14546,0.191,0.045,60000,high_under_18
14568,0.254,0.048,79805,high_under_18
14585,0,0.205,48750,high_70_80
14586,0.256,0.037,82076,high_under_18
14604,0.007,0.083,16764,high_70_80
14605,0.31,0.037,21047,high_under_18
14608,0.273,0.034,20761,high_under_18
14609,0.254,0.051,42012,high_under_18
14610,0.134,0.073,62923,high_70_80
14613,0.314,0.032,31169,high_under_18
14615,0.219,0.049,38135,high_under_18
14619,0.271,0.052,37383,high_under_18
14621,0.282,0.049,26104,high_under_18
14623,0.126,0.056,49972,high_70_80
15004,0.408,0.043,42212,high_under_18
15006,0.24,0.035,100233,high_under_18
15007,0,0.125,61888,high_70_80
15018,0.284,0.035,0,high_under_18
15030,0.167,0.016,40417,high_under_18
15031,0.115,0.145,0,high_70_80
15034,0.138,0.09,37500,high_70_80
15038,0.401,0,66406,high_under_18
15043,0.158,0.107,71042,high_70_80
15049,0.074,0.101,46750,high_70_80
15053,0.148,0.161,47125,high_70_80
15054,0.339,0,30982,high_under_18
15055,0.092,0.169,42386,high_70_80
15072,0,0.414,0,high_70_80
15075,0.196,0,0,high_under_18
15076,0.114,0.142,41500,high_70_80
15078,0.15,0.138,55329,high_70_80
15081,0.133,0.06,55625,high_70_80
15088,0.335,0.039,42000,high_under_18
15090,0.265,0.043,109710,high_under_18
15110,0.321,0.043,24390,high_under_18
15112,0.258,0.047,28869,high_under_18
15126,0.224,0.043,73973,high_under_18
15139,0.155,0.1,64635,high_70_80
15148,0.256,0.052,31203,high_under_18
15205,0.181,0.049,55115,high_under_18
15211,0.122,0.062,51833,high_70_80
15223,0.168,0.051,51963,high_under_18
15225,0.133,0.075,42763,high_70_80
15229,0.191,0.051,63859,high_under_18
15321,0.125,0.091,64063,high_70_80
15324,0.137,0.139,35938,high_70_80
15340,0.227,0.043,78214,high_under_18
15350,0.12,0.117,62212,high_70_80
15361,0.028,0.1,0,high_70_80
15366,0.061,0.227,0,high_70_80
15367,0.325,0.039,129063,high_under_18
15423,0.2,0.05,69219,high_under_18
15434,0.212,0.042,43281,high_under_18
15448,0.316,0,58000,high_under_18
15482,0.106,0.115,43750,high_70_80
15483,0.083,0.188,45208,high_70_80
15492,0,0.288,22857,high_70_80
15611,0.217,0.043,30586,high_under_18
15623,0.142,0.129,52933,high_70_80
15625,0,0.124,0,high_70_80
15629,0.241,0.049,41920,high_under_18
15633,0.17,0.043,0,high_under_18
15634,0.244,0,0,high_under_18
15641,0.152,0.068,46429,high_70_80
15647,0.076,0.32,64813,high_70_80
15662,0.478,0,0,high_under_18
15663,0.106,0.087,36731,high_70_80
15665,0.308,0.041,35842,high_under_18
15675,0.273,0.023,54479,high_under_18
15678,0.157,0.069,51250,high_70_80
15684,0.101,0.226,44286,high_70_80
15691,0,0.513,0,high_70_80
15692,0.146,0.058,55673,high_70_80
15698,0.013,0.182,67344,high_70_80
16027,0.236,0.053,69375,high_under_18
16034,0.266,0.052,54103,high_under_18
16045,0.24,0.029,42411,high_under_18
16046,0.256,0.031,108789,high_under_18
16056,0.151,0.105,56082,high_70_80
16066,0.257,0.04,101449,high_under_18
16102,0.203,0.048,44213,high_under_18
16120,0.191,0.054,52448,high_under_18
16132,0.227,0.02,0,high_under_18
16140,0,0.37,0,high_70_80
16155,0,0.4,25625,high_70_80
16160,0.145,0.123,45417,high_70_80
16161,0.148,0.113,30795,high_70_80
16212,0.156,0.067,33214,high_70_80
16228,0.228,0.046,48750,high_under_18
17003,0.152,0.073,62123,high_70_80
17010,0.245,0,0,high_under_18
17016,0.088,0.074,77188,high_70_80
17038,0.249,0.045,61927,high_under_18
17041,0.333,0,0,high_under_18
17064,0.041,0.185,85694,high_70_80
17077,0.198,0,0,high_under_18
17080,0.256,0.049,46750,high_under_18
17081,0.076,0.186,29886,high_70_80
17083,0.368,0,0,high_under_18
17101,0.04,0.077,25769,high_70_80
17103,0.292,0.031,35847,high_under_18
17104,0.333,0.029,32162,high_under_18
17109,0.218,0.051,50755,high_under_18
17113,0.311,0.049,45427,high_under_18
17317,0.364,0.026,62969,high_under_18
17318,0.241,0.052,38864,high_under_18
17347,0.271,0.053,79508,high_under_18
17364,0.183,0.053,59625,high_under_18
17366,0.259,0.051,55705,high_under_18
17370,0.201,0.051,68681,high_under_18
17371,0.104,0.057,76563,high_70_80
17401,0.316,0.035,26212,high_under_18
17404,0.248,0.052,55000,high_under_18
17512,0.228,0.049,50784,high_under_18
17547,0.277,0.034,67005,high_under_18
17554,0.286,0.052,56932,high_under_18
18015,0.199,0.045,50500,high_under_18
18031,0.272,0.036,84638,high_under_18
18032,0.229,0.047,57726,high_under_18
18034,0.231,0.031,86379,high_under_18
18035,0,0.294,0,high_70_80
18041,0.198,0.05,72595,high_under_18
18042,0.208,0.049,53291,high_under_18
18046,0.327,0,0,high_under_18
18056,0.134,0.082,53250,high_70_80
18058,0.184,0.042,62696,high_under_18
18063,0.087,0.07,0,high_70_80
18066,0.213,0.046,86221,high_under_18
18070,0.268,0.019,53929,high_under_18
18081,0,0.608,34425,high_70_80
18101,0.316,0.023,19401,high_under_18
18102,0.294,0.032,31257,high_under_18
18109,0.239,0.05,42878,high_under_18
18232,0.206,0.051,31447,high_under_18
18323,0.102,0.21,109013,high_70_80
18325,0.153,0.073,73393,high_70_80
18330,0.213,0.045,80921,high_under_18
18331,0.133,0.09,50625,high_70_80
18333,0.126,0.156,28147,high_70_80
18342,0.077,0.278,30556,high_70_80
18344,0.288,0.049,45921,high_under_18
18346,0.311,0.019,63969,high_under_18
18347,0.066,0.134,50156,high_70_80
18349,0,0.188,56154,high_70_80
18350,0.137,0.16,68125,high_70_80
18354,0.255,0.028,88250,high_under_18
18357,0,0.059,54327,high_70_80
18413,0,0.13,15795,high_70_80
18420,0,0.263,48750,high_70_80
18426,0.155,0.145,47477,high_70_80
18430,0,0.4,0,high_70_80
18438,0.163,0.054,63750,high_under_18
18441,0.096,0.096,28466,high_70_80
18445,0.146,0.101,50446,high_70_80
18452,0.116,0.098,41904,high_70_80
18453,0.133,0.118,46094,high_70_80
18459,0,1,0,high_70_80
18460,0.11,0.325,67019,high_70_80
18466,0.227,0.052,58387,high_under_18
18472,0.107,0.057,55495,high_70_80
18503,0.011,0.121,14212,high_70_80
18509,0.175,0.051,47043,high_under_18
18510,0.174,0.054,35601,high_under_18
18519,0.18,0.047,42672,high_under_18
18617,0.178,0.041,38458,high_under_18
18621,0.146,0.062,55483,high_70_80
18624,0.113,0.12,56544,high_70_80
18625,0.134,0.075,47381,high_70_80
18653,0.084,0.093,80417,high_70_80
18709,0.15,0.084,40086,high_70_80
18902,0.267,0.054,134180,high_under_18
18912,0.624,0.016,113975,high_under_18
18913,0,0.351,0,high_70_80
18917,0.22,0.036,53487,high_under_18
18920,0.153,0.21,79875,high_70_80
18923,0.354,0.013,133125,high_under_18
18929,0.247,0.033,127188,high_under_18
18930,0.107,0.109,84511,high_70_80
18942,0.153,0.059,82750,high_70_80
18955,0.217,0.037,75202,high_under_18
18962,0.144,0.124,65375,high_70_80
18970,0.224,0.031,78438,high_under_18
18972,0.136,0.106,73705,high_70_80
18980,0.12,0.145,85250,high_70_80
19001,0.219,0.054,79342,high_under_18
19007,0.222,0.049,47702,high_under_18
19009,0.186,0.047,93750,high_under_18
19013,0.245,0.044,29976,high_under_18
19017,0.074,0.19,73438,high_70_80
19021,0.209,0.036,53342,high_under_18
19022,0.334,0.043,39095,high_under_18
19023,0.29,0.036,42515,high_under_18
19026,0.232,0.047,68509,high_under_18
19029,0.217,0.052,50230,high_under_18
19032,0.269,0.052,60478,high_under_18
19033,0.222,0.044,77766,high_under_18
19041,0.132,0.116,108750,high_70_80
19044,0.226,0.045,76888,high_under_18
19057,0.214,0.046,66635,high_under_18
19074,0.214,0.051,75928,high_under_18
19075,0.259,0.039,95104,high_under_18
19076,0.232,0.047,61754,high_under_18
19079,0.229,0.047,43809,high_under_18
19082,0.255,0.038,41330,high_under_18
19083,0.239,0.054,99292,high_under_18
19103,0.053,0.076,70638,high_70_80
19106,0.068,0.068,106823,high_70_80
19111,0.25,0.043,46214,high_under_18
19113,0.07,0.14,40833,high_70_80
19120,0.292,0.029,33117,high_under_18
19121,0.227,0.033,17482,high_under_18
19122,0.191,0.043,32284,high_under_18
19124,0.312,0.033,31219,high_under_18
19125,0.171,0.036,56508,high_under_18
19128,0.165,0.053,67530,high_under_18
19132,0.246,0.05,18918,high_under_18
19133,0.287,0.034,15232,high_under_18
19134,0.309,0.033,27546,high_under_18
19135,0.262,0.04,43192,high_under_18
19136,0.211,0.054,45570,high_under_18
19137,0.233,0.043,52376,high_under_18
19140,0.261,0.05,18557,high_under_18
19141,0.254,0.053,28398,high_under_18
19142,0.293,0.032,29581,high_under_18
19147,0.162,0.044,73231,high_under_18
19148,0.207,0.054,49469,high_under_18
19149,0.285,0.037,41599,high_under_18
19151,0.243,0.049,47287,high_under_18
19153,0.218,0.052,41063,high_under_18
19345,0,0.082,0,high_70_80
19405,0.203,0.042,51288,high_under_18
19426,0.23,0.041,116584,high_under_18
19435,0.282,0,125924,high_under_18
19436,0,0.147,49107,high_70_80
19456,0.314,0,104688,high_under_18
19457,0,0.511,0,high_70_80
19464,0.232,0.05,56528,high_under_18
19468,0.226,0.053,77694,high_under_18
19474,0.141,0.196,0,high_70_80
19477,0,0.175,0,high_70_80
19492,0,0.115,24758,high_70_80
19511,0.148,0.262,86406,high_70_80
19525,0.268,0.047,95220,high_under_18
19534,0.199,0.053,56190,high_under_18
19535,0,1,0,high_70_80
19536,0.152,0.135,58413,high_70_80
19562,0.157,0.106,60609,high_70_80
19564,0.228,0,82823,high_under_18
19604,0.309,0.03,34781,high_under_18
20007,0.132,0.068,123154,high_70_80
20008,0.126,0.072,120342,high_70_80
20011,0.202,0.05,65327,high_under_18
20019,0.259,0.051,35487,high_under_18
20020,0.285,0.045,34508,high_under_18
20024,0.106,0.067,75696,high_70_80
20032,0.291,0.035,35047,high_under_18
20037,0.032,0.056,80133,high_70_80
20109,0.269,0.024,67891,high_under_18
20110,0.255,0.034,79798,high_under_18
20111,0.273,0.038,88100,high_under_18
20112,0.268,0.039,138801,high_under_18
20120,0.248,0.03,116593,high_under_18
20121,0.258,0.027,89330,high_under_18
20124,0.215,0.047,176829,high_under_18
20147,0.28,0.041,125508,high_under_18
20148,0.351,0.013,167083,high_under_18
20151,0.275,0.042,121086,high_under_18
20152,0.324,0.032,151230,high_under_18
20164,0.251,0.036,92279,high_under_18
20165,0.253,0.036,135250,high_under_18
20166,0.249,0.012,98979,high_under_18
20170,0.248,0.031,119911,high_under_18
20171,0.27,0.027,142349,high_under_18
20194,0.209,0.046,129365,high_under_18
20317,0,0.116,30667,high_70_80
20601,0.256,0.045,101081,high_under_18
20602,0.265,0.032,79806,high_under_18
20603,0.273,0.022,108384,high_under_18
20607,0.206,0.034,121524,high_under_18
20608,0.154,0.076,58750,high_70_80
20623,0.223,0.036,134257,high_under_18
20640,0.252,0.042,65940,high_under_18
20705,0.239,0.047,82351,high_under_18
20706,0.246,0.052,74700,high_under_18
20707,0.233,0.043,78183,high_under_18
20708,0.246,0.032,68673,high_under_18
20710,0.291,0.039,43456,high_under_18
20711,0.257,0.052,71912,high_under_18
20712,0.227,0.03,51592,high_under_18
20716,0.225,0.048,96492,high_under_18
20720,0.233,0.033,138636,high_under_18
20722,0.245,0.045,72283,high_under_18
20723,0.277,0.03,109230,high_under_18
20724,0.235,0.028,93410,high_under_18
20733,0.261,0.03,100086,high_under_18
20737,0.296,0.031,61286,high_under_18
20745,0.232,0.044,56033,high_under_18
20746,0.232,0.054,64762,high_under_18
20747,0.231,0.044,60583,high_under_18
20755,0.333,0.003,70858,high_under_18
20758,0.127,0.152,122604,high_70_80
20759,0.27,0.039,155590,high_under_18
20762,0.385,0.005,72862,high_under_18
20764,0.257,0.05,91944,high_under_18
20765,0.12,0.06,66000,high_70_80
20769,0.224,0.044,145575,high_under_18
20770,0.259,0.029,69601,high_under_18
20772,0.223,0.052,104743,high_under_18
20774,0.2,0.054,95560,high_under_18
20778,0.143,0.08,85714,high_70_80
20781,0.245,0.04,74241,high_under_18
20782,0.228,0.044,65622,high_under_18
20783,0.251,0.029,63366,high_under_18
20784,0.258,0.032,64969,high_under_18
20785,0.262,0.052,67056,high_under_18
20818,0.241,0.045,139904,high_under_18
20837,0.256,0.03,143828,high_under_18
20838,0.147,0.113,114375,high_70_80
20839,0.58,0,178661,high_under_18
20851,0.245,0.039,85047,high_under_18
20860,0.318,0.048,91473,high_under_18
20861,0.195,0.022,250001,high_under_18
20862,0.127,0.161,145417,high_70_80
20866,0.247,0.036,103802,high_under_18
20871,0.331,0.027,125649,high_under_18
20872,0.252,0.033,115351,high_under_18
20874,0.266,0.029,86718,high_under_18
20876,0.238,0.042,95338,high_under_18
20877,0.245,0.039,66988,high_under_18
20878,0.246,0.048,120149,high_under_18
20879,0.257,0.036,92694,high_under_18
20886,0.252,0.042,78253,high_under_18
20901,0.25,0.043,103830,high_under_18
20902,0.253,0.045,87244,high_under_18
20903,0.274,0.037,63106,high_under_18
20910,0.171,0.053,81429,high_under_18
20912,0.239,0.029,73901,high_under_18
21005,0.298,0.01,73333,high_under_18
21009,0.239,0.048,85961,high_under_18
21017,0.231,0.038,79044,high_under_18
21029,0.26,0.049,182045,high_under_18
21040,0.271,0.04,55000,high_under_18
21043,0.255,0.042,114816,high_under_18
21046,0.238,0.043,101990,high_under_18
21051,0.214,0.041,112292,high_under_18
21056,0,0.146,170966,high_70_80
21071,0.29,0.031,159318,high_under_18
21074,0.216,0.047,80571,high_under_18
21075,0.271,0.031,102165,high_under_18
21076,0.182,0.04,117621,high_under_18
21105,0,0.48,0,high_70_80
21113,0.244,0.043,97419,high_under_18
21114,0.267,0.045,117250,high_under_18
21117,0.23,0.039,79278,high_under_18
21130,0.242,0,56276,high_under_18
21144,0.273,0.042,99823,high_under_18
21152,0.262,0.043,93510,high_under_18
21156,0.07,0.171,95417,high_70_80
21204,0.148,0.064,81086,high_70_80
21205,0.295,0.052,28675,high_under_18
21206,0.236,0.044,50975,high_under_18
21210,0.133,0.07,93203,high_70_80
21211,0.132,0.057,63733,high_70_80
21213,0.273,0.04,34917,high_under_18
21214,0.206,0.047,65792,high_under_18
21216,0.217,0.047,37314,high_under_18
21217,0.239,0.052,28116,high_under_18
21218,0.157,0.059,43352,high_70_80
21223,0.273,0.042,26899,high_under_18
21224,0.205,0.042,65501,high_under_18
21225,0.265,0.046,41904,high_under_18
21226,0.259,0.036,73438,high_under_18
21227,0.24,0.054,64692,high_under_18
21229,0.244,0.054,47422,high_under_18
21230,0.166,0.034,73762,high_under_18
21236,0.221,0.052,77532,high_under_18
21244,0.24,0.041,65846,high_under_18
21620,0.149,0.099,59534,high_70_80
21737,0.328,0.042,187391,high_under_18
21771,0.235,0.047,120661,high_under_18
22026,0.312,0.017,88509,high_under_18
22027,0.261,0.047,211316,high_under_18
22030,0.209,0.038,112911,high_under_18
22031,0.19,0.05,110341,high_under_18
22033,0.237,0.036,110519,high_under_18
22042,0.205,0.042,103119,high_under_18
22043,0.222,0.041,114050,high_under_18
22044,0.229,0.051,81042,high_under_18
22060,0.403,0.007,79505,high_under_18
22079,0.271,0.038,107727,high_under_18
22125,0.175,0.047,138750,high_under_18
22150,0.212,0.053,96031,high_under_18
22152,0.24,0.054,123313,high_under_18
22180,0.242,0.05,141328,high_under_18
22191,0.267,0.031,85569,high_under_18
22192,0.265,0.04,95632,high_under_18
22193,0.279,0.032,94614,high_under_18
22204,0.204,0.035,81985,high_under_18
22205,0.267,0.049,180405,high_under_18
22213,0.241,0.041,165341,high_under_18
22301,0.213,0.033,145893,high_under_18
22302,0.173,0.041,103785,high_under_18
22304,0.179,0.043,80470,high_under_18
22305,0.233,0.025,90173,high_under_18
22306,0.278,0.036,74129,high_under_18
22309,0.25,0.039,83093,high_under_18
22310,0.223,0.05,121584,high_under_18
22311,0.203,0.029,62110,high_under_18
22312,0.226,0.045,78901,high_under_18
22314,0.132,0.057,122689,high_70_80
22315,0.225,0.037,129134,high_under_18
22546,0.265,0.047,64295,high_under_18
23009,0.253,0.052,80706,high_under_18
23015,0.256,0.045,78477,high_under_18
23030,0.15,0.09,53990,high_70_80
23039,0.155,0.141,61830,high_70_80
23047,0.168,0.04,81167,high_under_18
23059,0.274,0.046,104878,high_under_18
23060,0.246,0.051,83802,high_under_18
23069,0.154,0.079,72311,high_70_80
23075,0.24,0.048,42962,high_under_18
23103,0.123,0.128,111689,high_70_80
23106,0.396,0.026,41900,high_under_18
23112,0.257,0.046,89485,high_under_18
23114,0.27,0.041,100047,high_under_18
23120,0.329,0.02,132347,high_under_18
23126,0.358,0.025,55446,high_under_18
23221,0.133,0.058,69316,high_70_80
23223,0.221,0.047,38431,high_under_18
23224,0.253,0.037,34186,high_under_18
23230,0.127,0.063,51795,high_70_80
23233,0.247,0.041,103404,high_under_18
23234,0.242,0.043,46861,high_under_18
23237,0.243,0.052,54635,high_under_18
23294,0.222,0.046,55667,high_under_18
23313,0.313,0,36413,high_under_18
23322,0.238,0.05,96298,high_under_18
23323,0.261,0.048,75569,high_under_18
23324,0.288,0.05,38686,high_under_18
23325,0.252,0.054,61771,high_under_18
23433,0.121,0.151,80000,high_70_80
23435,0.261,0.047,85884,high_under_18
23436,0.244,0.048,102188,high_under_18
23453,0.263,0.033,65862,high_under_18
23454,0.229,0.046,70826,high_under_18
23456,0.255,0.048,99313,high_under_18
23459,0.388,0,50833,high_under_18
23462,0.22,0.044,60425,high_under_18
23464,0.233,0.052,74002,high_under_18
23503,0.192,0.041,51039,high_under_18
23504,0.247,0.041,28893,high_under_18
23505,0.242,0.044,43899,high_under_18
23507,0.172,0.052,64700,high_under_18
23509,0.213,0.05,48895,high_under_18
23513,0.23,0.035,43807,high_under_18
23518,0.22,0.05,55365,high_under_18
23523,0.369,0.032,26667,high_under_18
23607,0.246,0.045,30660,high_under_18
23651,0.242,0.05,100192,high_under_18
23665,0.361,0,57401,high_under_18
23666,0.21,0.051,52902,high_under_18
23702,0.295,0.035,35725,high_under_18
23707,0.285,0.04,40158,high_under_18
23801,0.406,0.002,63286,high_under_18
23832,0.246,0.036,84134,high_under_18
23836,0.235,0.047,80487,high_under_18
27107,0.287,0.052,41057,high_under_18
27127,0.248,0.051,46029,high_under_18
27214,0.282,0.046,61801,high_under_18
27233,0.144,0.085,70440,high_70_80
27244,0.154,0.058,51660,high_70_80
27258,0.257,0.041,46683,high_under_18
27260,0.283,0.047,25058,high_under_18
27310,0.29,0.037,108370,high_under_18
27344,0.263,0.053,37974,high_under_18
27405,0.282,0.051,33841,high_under_18
27407,0.24,0.035,45668,high_under_18
27409,0.217,0.043,42199,high_under_18
27501,0.276,0.034,55760,high_under_18
27502,0.3,0.034,103673,high_under_18
27503,0.089,0.061,79071,high_70_80
27508,0.089,0.081,31895,high_70_80
27510,0.174,0.021,50155,high_under_18
27513,0.224,0.042,88188,high_under_18
27519,0.306,0.042,126832,high_under_18
27520,0.262,0.041,62343,high_under_18
27523,0.24,0.036,95110,high_under_18
27525,0.262,0.053,50326,high_under_18
27527,0.313,0.04,83481,high_under_18
27539,0.296,0.038,100099,high_under_18
27540,0.325,0.037,96977,high_under_18
27545,0.269,0.044,58866,high_under_18
27560,0.269,0.015,93086,high_under_18
27571,0.305,0.049,96304,high_under_18
27576,0.285,0.048,38141,high_under_18
27587,0.292,0.05,88414,high_under_18
27591,0.262,0.045,57407,high_under_18
27592,0.27,0.047,59879,high_under_18
27596,0.268,0.052,62380,high_under_18
27601,0.17,0.031,32266,high_under_18
27603,0.206,0.042,60924,high_under_18
27604,0.232,0.039,54081,high_under_18
27610,0.28,0.037,48897,high_under_18
27613,0.236,0.041,87774,high_under_18
27614,0.262,0.045,102950,high_under_18
27616,0.293,0.026,64212,high_under_18
27617,0.201,0.028,80471,high_under_18
27701,0.23,0.03,32940,high_under_18
27703,0.256,0.03,59324,high_under_18
27704,0.28,0.042,43592,high_under_18
27705,0.164,0.052,50734,high_under_18
27707,0.214,0.043,50262,high_under_18
27709,0.254,0.015,74250,high_under_18
27713,0.217,0.036,73808,high_under_18
27929,0.134,0.151,74167,high_70_80
27958,0.245,0.041,82843,high_under_18
28027,0.256,0.052,67274,high_under_18
28036,0.25,0.048,114641,high_under_18
28075,0.28,0.05,89798,high_under_18
28078,0.285,0.041,92707,high_under_18
28079,0.269,0.053,74925,high_under_18
28104,0.28,0.052,101439,high_under_18
28110,0.284,0.048,56250,high_under_18
28115,0.266,0.052,60256,high_under_18
28173,0.33,0.043,106688,high_under_18
28174,0.245,0.054,47392,high_under_18
28205,0.202,0.031,45202,high_under_18
28206,0.256,0.05,28528,high_under_18
28208,0.286,0.042,31264,high_under_18
28209,0.203,0.042,70098,high_under_18
28210,0.221,0.049,64490,high_under_18
28212,0.28,0.029,36897,high_under_18
28213,0.244,0.03,42265,high_under_18
28214,0.28,0.034,57492,high_under_18
28215,0.295,0.041,48515,high_under_18
28216,0.24,0.038,49440,high_under_18
28217,0.239,0.028,45259,high_under_18
28227,0.237,0.053,54928,high_under_18
28262,0.178,0.021,51228,high_under_18
28269,0.254,0.037,63097,high_under_18
28273,0.258,0.029,63031,high_under_18
28277,0.271,0.036,101490,high_under_18
28278,0.277,0.025,82380,high_under_18
28682,0.073,0.141,78179,high_70_80
28726,0.171,0.045,32820,high_under_18
28782,0.135,0.143,50191,high_70_80
29303,0.21,0.044,31261,high_under_18
29320,0.464,0.01,0,high_under_18
29333,0.284,0,60375,high_under_18
29334,0.258,0.051,60603,high_under_18
29378,0.683,0,0,high_under_18
29385,0.285,0.045,46211,high_under_18
29401,0.109,0.078,69211,high_70_80
29404,0.343,0,45458,high_under_18
29405,0.217,0.048,32391,high_under_18
29406,0.279,0.036,35419,high_under_18
29410,0.236,0.04,61221,high_under_18
29414,0.177,0.052,64100,high_under_18
29418,0.214,0.054,36712,high_under_18
29420,0.236,0.042,60510,high_under_18
29434,0.14,0.185,31520,high_70_80
29438,0.064,0.177,55453,high_70_80
29445,0.241,0.049,56600,high_under_18
29450,0.141,0.117,52917,high_70_80
29451,0.148,0.133,102143,high_70_80
29456,0.253,0.034,58663,high_under_18
29461,0.238,0.054,56125,high_under_18
29470,0.182,0.049,48933,high_under_18
29485,0.261,0.049,65634,high_under_18
29492,0.275,0.046,103822,high_under_18
29609,0.238,0.048,43559,high_under_18
29611,0.252,0.051,32073,high_under_18
29630,0.166,0.044,31256,high_under_18
29635,0.121,0.191,53229,high_70_80
29645,0.221,0.045,48211,high_under_18
29650,0.256,0.053,70332,high_under_18
29665,0,0.08,0,high_70_80
29680,0.242,0.048,70249,high_under_18
29685,0.151,0.101,56618,high_70_80
29704,0.235,0.029,47650,high_under_18
29708,0.305,0.044,107856,high_under_18
29715,0.28,0.039,75756,high_under_18
29730,0.238,0.053,45430,high_under_18
29824,0.138,0.087,42012,high_70_80
29829,0.275,0.042,54206,high_under_18
29832,0.247,0.042,34514,high_under_18
29838,0.082,0.087,57833,high_70_80
29842,0.233,0.037,36308,high_under_18
29851,0.224,0.051,39369,high_under_18
29856,0.286,0.051,39609,high_under_18
30002,0.204,0.043,56750,high_under_18
30004,0.28,0.033,107423,high_under_18
30005,0.299,0.029,127340,high_under_18
30008,0.285,0.028,45907,high_under_18
30009,0.216,0.049,79933,high_under_18
30012,0.294,0.051,40631,high_under_18
30013,0.228,0.053,55763,high_under_18
30021,0.314,0.02,32349,high_under_18
30022,0.265,0.03,103228,high_under_18
30024,0.308,0.037,103533,high_under_18
30030,0.269,0.046,77789,high_under_18
30033,0.181,0.045,67462,high_under_18
30035,0.255,0.037,43998,high_under_18
30038,0.275,0.027,50931,high_under_18
30039,0.283,0.034,63935,high_under_18
30043,0.254,0.038,72728,high_under_18
30044,0.29,0.03,57334,high_under_18
30045,0.302,0.029,73475,high_under_18
30046,0.256,0.046,45874,high_under_18
30047,0.26,0.052,67897,high_under_18
30052,0.278,0.052,65993,high_under_18
30058,0.275,0.028,48811,high_under_18
30060,0.26,0.036,41130,high_under_18
30062,0.265,0.054,94437,high_under_18
30066,0.218,0.054,91364,high_under_18
30067,0.227,0.039,55681,high_under_18
30071,0.31,0.023,43951,high_under_18
30075,0.247,0.052,109786,high_under_18
30076,0.257,0.048,72719,high_under_18
30078,0.251,0.046,72207,high_under_18
30079,0.205,0.013,44706,high_under_18
30080,0.212,0.031,65159,high_under_18
30082,0.249,0.04,74180,high_under_18
30083,0.254,0.034,37871,high_under_18
30088,0.226,0.044,48283,high_under_18
30092,0.241,0.043,63446,high_under_18
30093,0.302,0.016,37862,high_under_18
30096,0.253,0.037,50771,high_under_18
30097,0.277,0.039,99904,high_under_18
30101,0.277,0.045,83534,high_under_18
30102,0.229,0.04,62051,high_under_18
30106,0.265,0.038,47659,high_under_18
30122,0.269,0.029,50905,high_under_18
30126,0.26,0.039,71208,high_under_18
30127,0.266,0.042,76150,high_under_18
30134,0.276,0.05,51295,high_under_18
30135,0.262,0.051,70020,high_under_18
30141,0.231,0.044,60361,high_under_18
30144,0.206,0.032,64754,high_under_18
30152,0.258,0.038,82674,high_under_18
30157,0.268,0.042,61444,high_under_18
30168,0.31,0.018,41299,high_under_18
30188,0.26,0.051,75205,high_under_18
30189,0.252,0.049,84666,high_under_18
30213,0.282,0.038,50863,high_under_18
30228,0.293,0.037,59661,high_under_18
30236,0.264,0.05,47014,high_under_18
30238,0.311,0.037,47161,high_under_18
30250,0.163,0,0,high_under_18
30252,0.286,0.047,77020,high_under_18
30253,0.264,0.038,61306,high_under_18
30260,0.228,0.036,45760,high_under_18
30265,0.264,0.053,81532,high_under_18
